round,date,home_team,away_team,home_score,away_score,stadium,stage
4,04/22/2019,Västerås SK FK,Trelleborgs FF,0,0,Solid Park Arena,
4,04/22/2019,IK Frej Täby,Östers IF,3,2,Vikingavallen/Täby IP 1,
4,04/22/2019,Halmstad,Syrianska FC,2,2,Örjans Vall,
4,04/22/2019,Varbergs BoIS FC,IF Brommapojkarna,3,0,Påskbergsvallen A,
5,04/26/2019,Örgryte IS FF,Västerås SK FK,0,2,Ullevi,
5,04/27/2019,Mjällby AIF,Degerfors IF,1,0,Strandvallen A-plan,
5,04/27/2019,Jönköpings Södra IF,IK Frej Täby,1,1,Stadsparksvallen,
5,04/27/2019,IF Brommapojkarna,Halmstad,2,1,Grimsta IP 1,
5,04/28/2019,IK Brage,Varbergs BoIS FC,1,2,Domnarvsvallen,
5,04/28/2019,Trelleborgs FF,Dalkurd,2,0,"Vångavallen, Trelleborg A-plan",
5,04/28/2019,Syrianska FC,GAIS,0,0,Södertälje Fotbollsarena,
5,04/29/2019,Östers IF,Norrby IF,0,1,Myresjöhus Arena 1,
6,05/03/2019,Norrby IF,IF Brommapojkarna,2,0,Borås Arena,
6,05/04/2019,Mjällby AIF,Örgryte IS FF,2,1,Strandvallen A-plan,
6,05/04/2019,Västerås SK FK,Varbergs BoIS FC,1,2,Solid Park Arena,
6,05/05/2019,GAIS,Jönköpings Södra IF,1,0,Ullevi,
6,05/05/2019,Halmstad,Östers IF,0,1,Örjans Vall,
6,05/06/2019,Dalkurd,Syrianska FC,4,1,Gavlevallen,
6,05/06/2019,IK Frej Täby,Trelleborgs FF,3,3,Vikingavallen/Täby IP 1,
6,05/07/2019,Degerfors IF,IK Brage,1,0,Stora Valla,
7,05/10/2019,GAIS,IK Frej Täby,0,1,Gamla Ullevi,
7,05/11/2019,Trelleborgs FF,Halmstad,0,1,"Vångavallen, Trelleborg A-plan",
7,05/11/2019,Varbergs BoIS FC,Dalkurd,2,0,Påskbergsvallen A,
7,05/11/2019,IF Brommapojkarna,Degerfors IF,2,3,Grimsta IP 1,
